Incident_ID,Source,Event,Location,Time,Severity,Details
DOC-014,PDF,Training / Equipment,Lonoke County Sheriff’s Office,3001,Medium,Lonoke County Sheriff’s Office John Staley - Sheriff TRAINEE REFERENCE MATERIALS: INSTRUCTOR REFERENCE: MATERIALS: TRAINING AIDS REQUIRED: Provided by the Agency 1. A/V projector 2. Dry Erase 3. MRAP
IMG-001,Image,Building Fire,Main St,N/A,High,"Demo image row showing fire, smoke, and person detected."
IMG-002,Image,Road Accident,Oak Rd,N/A,High,Demo image row showing accident-related objects detected.
VID-001,Video,Person collapsing,N/A,00:00:12,High,Demo CCTV row showing timestamped abnormal activity.
VID-002,Video,Crowd / fighting activity,N/A,00:00:28,High,Demo CCTV row showing possible public disturbance.
TXT-001,Text,Assault / Violence,N/A,N/A,High,"Active crime scene on I-59/20 near Jeff/Tusc Co line. One dead, one injured; shooting involved. Police search in the area; traffic stopped"
TXT-002,Text,Assault / Violence,N/A,N/A,High,Police have arrested a suspect in the Monday shooting at the basketball courts behind Word Tabernacle Church. http://t.co/X67i7jajij
TXT-003,Text,General Incident,N/A,N/A,High,Lawsuit alleges Chicago Police strip-searched trio in public http://t.co/NGVCe42BUW via @suntimes
TXT-004,Text,General Incident,N/A,N/A,High,New NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene;  http://t.co/f96jCNY3wV #patriots #liberty
TXT-005,Text,General Incident,N/A,N/A,High,"Police failing to stamp out ‘honour crimes’, from domestic violence and forced marriage to FGM and murder http://t.co/SLuXLgbQbU"
TXT-006,Text,General Incident,N/A,N/A,High,"Today's front page: 
Police failing to stamp out ‘honour crimes’ http://t.co/SLuXLgbQbU http://t.co/w7ft9HW4Vx"
TXT-007,Text,Theft / Robbery,N/A,N/A,High,"Town of Tonawanda Police Search for Bank Robbery Suspect
http://t.co/4aJxs3Mv9G http://t.co/320mwHfuPl"
TXT-008,Text,General Incident,N/A,N/A,High,"Due to lack of police protection, #Christians in #Pakistan become easy targets for crime and abuse. http://t.co/6Ld0Zs9h29 ^ws"
TXT-009,Text,General Incident,N/A,N/A,High,New #NRA Advice: Don't Cooperate With Police If Your Gun Shows Up At A Crime Scene http://t.co/ldIDJ75Did
TXT-010,Text,General Incident,N/A,N/A,Low,Commish Batts makes a strong case for legalizing marijuana - to end the violent MJ trade in Baltimore. @baltimoresun http://t.co/A0TRUflAYl
TXT-011,Text,General Incident,N/A,N/A,High,Police swoop on the homeless taking sleeping bags and food parcels in co-ordinated raids in Redbridge http://t.co/ZWmE54jhBP
TXT-012,Text,General Incident,N/A,N/A,High,#NRAadvice: Don’t cooperate with police if your gun shows up at a crime scene: http://t.co/c96U10ed1l
TXT-013,Text,Assault / Violence,N/A,N/A,High,#Police : Become a Special Constable and help cut crime http://t.co/taxFZeQ4Vx Devon Cornwall
TXT-014,Text,General Incident,N/A,N/A,High,BREAKING NEWS: Judge’s ruling favors officers in Badger Guns suit: http://t.co/QcQP0vLtd4
TXT-015,Text,Assault / Violence,N/A,N/A,High,Woman police sergeant dives in river to drag drowning woman to safety http://t.co/WKSZ2Obw1k via @MailOnline Just #crime fighters? Nope!!!
TXT-016,Text,General Incident,N/A,N/A,High,RT @blackmagicgal1: So AAP will continue to cry foul at Delhi police whenever a crime is reported rather than take responsibility like a go…
TXT-017,Text,General Incident,N/A,N/A,High,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…
TXT-018,Text,General Incident,N/A,N/A,High,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…
TXT-019,Text,General Incident,N/A,N/A,High,RT @shiven_gaur: Crime/Lawlessness has always been a problem in Delhi. Home minister and Delhi Police are answerable. Media shud stop blami…
TXT-020,Text,General Incident,N/A,N/A,High,RT @CherryFlavoredd: Cause there isn't any real crime anywhere.. RT @DrinkingTicket: Police around capstone dorm arresting kids looking dru…
